date,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
1990-02-07,False,False,False,8.25,0.0,0,,,,,,,,,,,,,,,,,,1990-01-01,,,,1990-01-01,,,,1990-01-01,,,,,,,,,,,,1990-01-01,,,,,,,,,,,,
1990-03-27,False,False,False,8.25,0.0,0,,,,,,,,,,1990-01-01,,,,1990-02-01,,,,1990-02-01,,,,1990-02-01,,,,1990-02-01,,,,,,,,,,,,1990-02-01,,,,,,,,,,,,
1990-04-11,False,False,True,8.25,0.0,0,,,,,,,,,,1990-02-01,,,,1990-03-01,,,,1990-03-01,,,,1990-03-01,,,,1990-03-01,,,,,,,,,,,,1990-03-01,,,,,,,,,,,,
1990-05-15,False,False,False,8.25,0.0,0,,1990-01-01,,,,1990-01-01,,,,1990-03-01,,,,1990-04-01,,,,1990-04-01,,,,1990-04-01,,,,1990-04-01,,,,,,,,,,,,1990-04-01,,,,,,,,,,,,
1990-07-03,False,False,False,8.25,0.0,0,,1990-01-01,,,,1990-01-01,,,,1990-05-01,,,,1990-05-01,,,,1990-05-01,,,,1990-05-01,,,,1990-05-01,,,,,,,,,,,,1990-05-01,,,,,,,,,,,,
1990-08-21,False,False,False,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-06-01,64.52366666666667,,,1990-07-01,129.16666666666666,0.38848597149877145,,1990-07-01,-5.333333333333333,-0.016666666666666607,,1990-07-01,109714.0,104.16666666666667,,1990-07-01,49.050000000000004,-0.10000000000000024,,,,,,,,,,1990-07-01,554.6666666666666,-2.182560195065151,,,,,,,,,,
1990-09-07,False,False,True,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-07-01,64.76100000000001,0.3683031456981552,,1990-07-01,129.16666666666666,0.38848597149877145,,1990-08-01,-5.400000000000001,-0.06666666666666672,,1990-08-01,109744.16666666667,30.166666666666668,,1990-08-01,48.550000000000004,-0.5,,,,,,,,,,1990-08-01,544.1666666666666,-1.8334946076350833,,,,,,,,,,
1990-09-17,False,False,True,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-07-01,64.76100000000001,0.3683031456981552,,1990-08-01,129.76666666666668,0.4636118072736937,,1990-08-01,-5.400000000000001,-0.06666666666666672,,1990-08-01,109744.16666666667,30.166666666666668,,1990-08-01,48.550000000000004,-0.5,,,,,,,,,,1990-08-01,544.1666666666666,-1.8334946076350833,,,,,,,,,,
1990-10-02,False,False,False,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-08-01,64.992,0.3568363732379001,,1990-08-01,129.76666666666668,0.4636118072736937,,1990-08-01,-5.400000000000001,-0.06666666666666672,,1990-08-01,109744.16666666667,30.166666666666668,,1990-08-01,48.550000000000004,-0.5,,,,,,,,,,1990-08-01,544.1666666666666,-1.8334946076350833,,,,,,,,,,
1990-11-13,False,False,False,7.5,-0.25,-1,,1990-07-01,,,,1990-07-01,,,,1990-09-01,65.20983333333334,0.33505903892805805,,1990-10-01,131.16666666666666,0.5737958685278463,,1990-10-01,-5.6000000000000005,-0.08333333333333333,,1990-10-01,109670.0,-53.166666666666664,,1990-10-01,46.51666666666667,-1.1333333333333329,,,,,,,,,,1990-10-01,518.3333333333334,-2.476696712162556,,,,,,,,,,
