date,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
1990-02-07,False,False,False,8.25,0.0,0,,,,,,,,,,,,,,,,,,1990-01-01,,,,1990-01-01,,,,1990-01-01,,,,,,,,,,,,1990-01-01,,,,,,,,,,,,
1990-03-27,False,False,False,8.25,0.0,0,,,,,,,,,,1990-01-01,,,,1990-02-01,,,,1990-02-01,,,,1990-02-01,,,,1990-02-01,,,,,,,,,,,,1990-02-01,,,,,,,,,,,,
1990-04-11,False,False,True,8.25,0.0,0,,,,,,,,,,1990-02-01,,,,1990-03-01,,,,1990-03-01,,,,1990-03-01,,,,1990-03-01,,,,,,,,,,,,1990-03-01,,,,,,,,,,,,
1990-05-15,False,False,False,8.25,0.0,0,,1990-01-01,,,,1990-01-01,,,,1990-03-01,,,,1990-04-01,,,,1990-04-01,,,,1990-04-01,,,,1990-04-01,,,,,,,,,,,,1990-04-01,,,,,,,,,,,,
1990-07-03,False,False,False,8.25,0.0,0,,1990-01-01,,,,1990-01-01,,,,1990-05-01,,,,1990-05-01,,,,1990-05-01,,,,1990-05-01,,,,1990-05-01,,,,,,,,,,,,1990-05-01,,,,,,,,,,,,
1990-08-21,False,False,False,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-06-01,,,,1990-07-01,,,,1990-07-01,,,,1990-07-01,,,,1990-07-01,,,,,,,,,,,,1990-07-01,,,,,,,,,,,,
1990-09-07,False,False,True,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-07-01,,,,1990-07-01,,,,1990-08-01,,,,1990-08-01,,,,1990-08-01,,,,,,,,,,,,1990-08-01,,,,,,,,,,,,
1990-09-17,False,False,True,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-07-01,,,,1990-08-01,,,,1990-08-01,,,,1990-08-01,,,,1990-08-01,,,,,,,,,,,,1990-08-01,,,,,,,,,,,,
1990-10-02,False,False,False,8.0,0.0,0,,1990-04-01,,,,1990-04-01,,,,1990-08-01,,,,1990-08-01,,,,1990-08-01,,,,1990-08-01,,,,1990-08-01,,,,,,,,,,,,1990-08-01,,,,,,,,,,,,
1990-11-13,False,False,False,7.5,-0.25,-1,,1990-07-01,,,,1990-07-01,,,,1990-09-01,,,,1990-10-01,,,,1990-10-01,,,,1990-10-01,,,,1990-10-01,,,,,,,,,,,,1990-10-01,,,,,,,,,,,,
1990-12-07,False,False,True,7.25,-0.25,-1,,1990-07-01,,,,1990-07-01,,,,1990-10-01,,,,1990-10-01,,,,1990-11-01,,,,1990-11-01,,,,1990-11-01,,,,,,,,,,,,1990-11-01,,,,,,,,,,,,
1990-12-18,False,False,False,7.0,-0.25,-1,,1990-07-01,,,,1990-07-01,,,,1990-10-01,,,,1990-11-01,,,,1990-11-01,,,,1990-11-01,,,,1990-11-01,,,,,,,,,,,,1990-11-01,,,,,,,,,,,,
