"","ds","y","bus_conf","cpi","con_cred","con_exp","real_gdp","gov_con_exp"
"1",1969-01-01,-0.0200732948457604,-0.000407144694259128,0.00280112044817931,-0.990163935741269,0.0121422376409366,0.00516315244414378,0.000754323498443288
"2",1969-02-01,-0.0178342920580977,0.000602409638554188,0.00279329608938531,3.65222049482871,0.00891173950299917,0.00101335777477174,-0.00103946235732211
"3",1969-03-01,-0.0189342920580977,4.76347368379567e-05,0.00831024930747934,-0.599888084830802,0.000339731612026384,0.00101233192034944,-0.00104054396360331
"4",1969-04-01,-0.0520576471569892,-0.000847226153762148,0.00550964187327812,0.476545963758492,0.00849040584139926,0.00101130814083938,-0.00104162782314698
"5",1969-05-01,-0.045050754988037,-0.000664913441985596,0.00274725274725278,-0.203002650348311,0.0107762249536958,0.00220170717402501,0.000676063535036686
"6",1969-06-01,-0.0560576471569892,-0.00161070671997196,0.00546448087431701,-0.635065721674817,0.000999500249875052,0.00219687030890769,0.000675606781933569
"7",1969-07-01,-0.0281168988687408,-0.00169820257771792,0.00543478260869553,-0.669094961920886,0.00299550673989035,0.00219205464913341,0.000675150645578659
"8",1969-08-01,-0.0364840430864932,-0.000137630187685722,0.00271002710027104,-0.131573699562238,0.0119462419113985,-0.00162561729712218,-0.004484032077407
"9",1969-09-01,-0.0362395392465925,-0.000121687870611809,0.0053908355795149,0.868964027870173,0.00541072306935564,-0.00162826423161944,-0.00450422918556526
"10",1969-10-01,-0.140670884595702,-0.000683714616520942,0.00536193029490605,-0.0738833891339536,0.00864318330071745,-0.00163091979999441,-0.00452460906174823
"11",1969-11-01,-0.143314667934934,-0.00239934309965999,0.0053333333333334,-0.630923260938511,0.00323362974939378,-0.000494949872925088,-0.00160295744704952
"12",1969-12-01,-0.147293397092716,-0.00397942663750799,0.00530503978779848,0.277298525582861,0.00370668815471387,-0.000495194969612367,-0.00160553104498828
"13",1970-01-01,-0.178535956718445,-0.00503658945087458,0.00527704485488115,0.448839153016185,0.00947334617854856,-0.000495440309161266,-0.0016081129202119
"14",1970-02-01,-0.176296980062134,-0.00402489213536403,0.00524934383202107,-0.873209651793633,0.00843009384444082,0.00047306570751604,-0.00387529983299151
"15",1970-03-01,-0.170246533894068,-0.00224900411115265,0.00522193211488239,-0.997296621628319,-0.00268138801261841,0.000472842022170461,-0.00389037620724519
"16",1970-04-01,-0.149171043014263,-0.000130763699631276,0.00519480519480526,0.322049319865319,0.00585165269650489,0.000472618548262416,-0.00390557034520445
"17",1970-05-01,-0.154371043014263,0.00294279436301256,0.00259067357512957,6.85570284300173,0.010062893081761,0.00307191790058448,0.00140890759754386
"18",1970-06-01,-0.150314667934934,0.0031735927034533,0.00515463917525762,276.248524438492,0.00607098381070981,0.0030625101209234,0.00140692536970777
"19",1970-07-01,-0.187140125285571,-0.000870928356869487,0.00257069408740363,0.109491659057251,0.00340399195420082,0.00305315978817333,0.00140494871171559
"20",1970-08-01,-0.184607941514693,-0.00454143488224046,0.0025641025641026,-0.944405458190604,0.00678488820354661,-0.00357214512505999,0.000155249262137058
"21",1970-09-01,-0.19073297939227,-0.00610672955836071,0.0051020408163266,15.8617626024265,0.00949609434829224,-0.00358495109062207,0.000155225163551265
"22",1970-10-01,-0.229976117753404,-0.00450953150043407,0.00507614213197958,-0.976656203839359,-0.0012137763617055,-0.00359784920405004,0.000155201072439271
"23",1970-11-01,-0.230194135074069,-0.000339961906200863,0.00505050505050512,0.852623456790125,-0.00258240923591058,0.00905330484155509,-0.00487501990128958
"24",1970-12-01,-0.222626752328726,0.00609963806576524,0.00502512562814059,34.4038660846067,0.0137069753274444,0.00897207788539656,-0.00489890214674948
"25",1971-01-01,0.00563355946764843,0.00834274114041528,0.00250626566416043,147.188108501533,0.0157752403846154,0.0088922955174362,-0.00492301953773133
"26",1971-02-01,0.0133241677219248,0.00771460228006824,0,-0.993052035615762,0.00488093477296259,0.00180370640527761,-0.000765857615113053
"27",1971-03-01,0.0148637300402489,0.00317728597274923,0.00250000000000003,0.159949532405628,0.00382690609361203,0.00180045890601632,-0.000766444602548266
"28",1971-04-01,0.0186902108971671,0.00222855910474219,0.00249376558603494,4.86223722183489,0.00997067448680355,0.0017972230797183,-0.000767032490460617
"29",1971-05-01,0.0156618707200733,0.000680485239856125,0.00496277915632743,-0.799968210924581,0.00333914053426265,0.00274328211742225,-0.000173821415234587
"30",1971-06-01,0.0169391583647113,-7.5836950556269e-05,0.00493827160493834,0.398589257290763,0.0125886268267978,0.00273577710899997,-0.00017385163436523
"31",1971-07-01,0.0161299161175449,-3.5924056544523e-05,0.00246305418719215,1.20851055345185,-0.00128608173763933,0.00272831305260812,-0.00017388186401146
"32",1971-08-01,0.0176299161175449,-6.18730365289691e-05,0.00245700245700249,0.877466978316717,0.00858491915867798,0.000785930998408846,-0.00234273646915439
"33",1971-09-01,0.0207391583647113,0.000439903321020697,0.00245098039215672,0.552376137925773,0.0114909916300185,0.00078531379595681,-0.00234823777141968
"34",1971-10-01,0.166342612142678,0.000232366568733551,0.00244498777506115,-0.670614653083974,0.00392706872370252,0.000784697562133729,-0.00235376497122375
"35",1971-11-01,0.150302246241221,0.00117839365918629,0.00243902439024393,3.55010579297702,0.00712489522212922,0.00612984498569369,0.00184041618338737
"36",1971-12-01,0.150530406509081,0.00465198824906975,0.00243309002433093,-0.684777128788509,0.0104036620890553,0.0060924989117892,0.00183703527394607
"37",1972-01-01,0.0200618707200733,0.00452925907282937,0.00242718446601945,-0.902651926516184,0.00425590334980774,0.00605560514404058,0.00183366676342089
