ds,yhat,yhat_lower,yhat_upper,recession
1962-01-01,1.253423693770586,0.43425998358443646,2.05641671200276,Non-recessionary Period
1962-02-01,1.2594150454965336,0.4416818995343528,2.051552923213741,Non-recessionary Period
1962-03-01,1.2425698752414627,0.44271653597146615,2.0493171304620974,Non-recessionary Period
1962-04-01,1.2954144501763705,0.5092911541112267,2.103658949190398,Non-recessionary Period
1962-05-01,1.3267550383629954,0.529220680819616,2.128698343076815,Non-recessionary Period
1962-06-01,1.2653934503374362,0.4552432648144213,2.0786136088068776,Non-recessionary Period
1962-07-01,1.1667991472680683,0.35802546352066456,1.973115603816004,Non-recessionary Period
1962-08-01,1.0843783531502889,0.27240946437972396,1.8992401994867805,Non-recessionary Period
1962-09-01,1.0620084332548867,0.2603517850157898,1.8681987477441198,Non-recessionary Period
1962-10-01,1.049214532236536,0.24273911313370775,1.8483968213745137,Non-recessionary Period
1962-11-01,0.9812920007723401,0.1838050427490052,1.7963383198366898,Non-recessionary Period
1962-12-01,0.9204888023263598,0.10481630423795978,1.733527200691825,Non-recessionary Period
1963-01-01,0.9310554182085152,0.12598298623769233,1.7329379934013154,Non-recessionary Period
1963-02-01,0.9373672909529661,0.12015036898065927,1.7379871789841408,Non-recessionary Period
1963-03-01,0.9184251071154651,0.10477722032235859,1.7231238031127527,Non-recessionary Period
1963-04-01,0.9717511584632967,0.16350187283399317,1.77064715512446,Non-recessionary Period
1963-05-01,1.003507434935193,0.18506257826119724,1.7983162081551063,Non-recessionary Period
1963-06-01,0.9435362098026925,0.15027217055313224,1.7600320935593938,Non-recessionary Period
1963-07-01,0.845204370344169,0.03379927124932455,1.6402646912779033,Non-recessionary Period
1963-08-01,0.764039587668226,-0.04705515405844515,1.559361573877891,Non-recessionary Period
1963-09-01,0.7365473560692453,-0.05833713644346018,1.5364175161289761,Non-recessionary Period
1963-10-01,0.7264120658988127,-0.057773601779752666,1.5376542460994065,Non-recessionary Period
1963-11-01,0.6617918869420077,-0.1503599844165474,1.4703032861575733,Non-recessionary Period
1963-12-01,0.5968654393808881,-0.22013878285379065,1.4080526298791511,Non-recessionary Period
1964-01-01,0.6079521431438514,-0.20904829965597102,1.4181204800102718,Non-recessionary Period
1964-02-01,0.613549605814648,-0.1871822350757869,1.4073245647839663,Non-recessionary Period
1964-03-01,0.5944114699416475,-0.2045709774003917,1.401924157229763,Non-recessionary Period
