,Date,predicted_probability
224,2011-09-01,0.1147668679125610
225,2011-10-01,0.1449623274946400
226,2011-11-01,0.1112022533496280
227,2011-12-01,0.1165813185078710
228,2012-01-01,0.1165813185078710
229,2012-02-01,0.1676696879516890
230,2012-03-01,0.1345225469703470
231,2012-04-01,0.1345225469703470
232,2012-05-01,0.1399726836147380
233,2012-06-01,0.3301002593693660
234,2012-07-01,0.3301002593693660
235,2012-08-01,0.423449980177242
236,2012-09-01,0.3514896119538260
237,2012-10-01,0.3514896119538260
238,2012-11-01,0.2322735760578130
239,2012-12-01,0.2977803196699530
240,2013-01-01,0.1972094111125990
241,2013-02-01,0.1295363018028110
242,2013-03-01,0.1493166781257210
243,2013-04-01,0.1493166781257210
244,2013-05-01,0.2367472036821350
245,2013-06-01,0.1140709787648230
246,2013-07-01,0.1140709787648230
247,2013-08-01,0.1236894383884750
248,2013-09-01,0.1236894383884750
249,2013-10-01,0.1289189573048730
250,2013-11-01,0.1241866060363570
251,2013-12-01,0.1241866060363570
252,2014-01-01,0.1368587145374870
253,2014-02-01,0.1284868200656720
254,2014-03-01,0.1310113581604080
255,2014-04-01,0.1336604384608850
256,2014-05-01,0.1259606717733650
257,2014-06-01,0.1259606717733650
258,2014-07-01,0.1196779198484810
259,2014-08-01,0.1268633272918790
260,2014-09-01,0.1268633272918790
261,2014-10-01,0.1194807434971950
262,2014-11-01,0.111993467107732
263,2014-12-01,0.111993467107732
264,2015-01-01,0.1103334093018430
265,2015-02-01,0.1103334093018430
266,2015-03-01,0.1103334093018430
267,2015-04-01,0.1378771986986690
268,2015-05-01,0.1228535663584270
269,2015-06-01,0.1228535663584270
270,2015-07-01,0.109084744271775
271,2015-08-01,0.1128232694613590
272,2015-09-01,0.1113959430813970
273,2015-10-01,0.1191888292433200
274,2015-11-01,0.1191888292433200
275,2015-12-01,0.1161356633020750
276,2016-01-01,0.1199246082184980
277,2016-02-01,0.1199246082184980
278,2016-03-01,0.273193581813245
279,2016-04-01,0.2243134684471730
280,2016-05-01,0.2243134684471730
281,2016-06-01,0.1959352619100560
282,2016-07-01,0.5137482800652910
283,2016-08-01,0.5137482800652910
284,2016-09-01,0.4360265773755840
285,2016-10-01,0.3929221573815600
286,2016-11-01,0.2035869323882100
287,2016-12-01,0.1099160150173500
288,2017-01-01,0.1099160150173500
289,2017-02-01,0.1197721725397920
290,2017-03-01,0.1130618846152850
291,2017-04-01,0.1224524637594020
292,2017-05-01,0.1224524637594020
293,2017-06-01,0.1758971990729930
294,2017-07-01,0.1627776017339400
295,2017-08-01,0.1739125118255730
296,2017-09-01,0.2480965872119140
297,2017-10-01,0.2480965872119140
298,2017-11-01,0.1514481932084370
299,2017-12-01,0.1734911139645140
300,2018-01-01,0.1734911139645140
301,2018-02-01,0.1319930445737160
302,2018-03-01,0.1275282981426830
303,2018-04-01,0.1275282981426830
304,2018-05-01,0.1569923149071970
305,2018-06-01,0.1690095378317830
306,2018-07-01,0.1690095378317830
307,2018-08-01,0.1552689798778900
308,2018-09-01,0.2326062176617980
309,2018-10-01,0.2326062176617980
310,2018-11-01,0.2169065742537740
311,2018-12-01,0.25281548964784
312,2019-01-01,0.6990128883249040
313,2019-02-01,0.7267554356219230
314,2019-03-01,0.6217090739484120
315,2019-04-01,0.6217090739484120
316,2019-05-01,0.8396305922433370
317,2019-06-01,0.9607695833792560
318,2019-07-01,0.9607695833792560
319,2019-08-01,0.947590178262116
320,2019-09-01,0.947590178262116
321,2019-10-01,0.9727694898970980
322,2019-11-01,0.945443543771926
323,2019-12-01,0.945443543771926
324,2020-01-01,0.8188863814894670
325,2020-02-01,0.9684763134887120
326,2020-03-01,0.9684763134887120
327,2020-04-01,0.969838108545678
328,2020-05-01,0.920621817892149
329,2020-06-01,0.920621817892149
330,2020-07-01,0.971336878711557
331,2020-08-01,0.9787561228738830
332,2020-09-01,0.96451925740121
333,2020-10-01,0.9721239582307350
334,2020-11-01,0.9721239582307350
335,2020-12-01,0.9563372158418500
336,2021-01-01,0.9399770804918390
337,2021-02-01,0.9399770804918390
338,2021-03-01,0.9399770804918390
339,2021-04-01,0.2035608299351660
340,2021-05-01,0.2678768689710720
341,2021-06-01,0.2678768689710720
342,2021-07-01,0.4871832782145980
343,2021-08-01,0.4871832782145980
344,2021-09-01,0.4871832782145980
345,2021-10-01,0.4871832782145980
346,2021-11-01,0.4871832782145980
347,2021-12-01,0.4871832782145980
348,2022-01-01,0.4871832782145980
349,2022-02-01,0.4871832782145980
350,2022-03-01,0.4871832782145980
351,2022-04-01,0.4871832782145980
352,2022-05-01,0.4871832782145980
353,2022-06-01,0.4871832782145980
354,2022-07-01,0.4871832782145980
355,2022-08-01,0.4871832782145980
356,2022-09-01,0.4871832782145980
357,2022-10-01,0.4871832782145980
358,2022-11-01,0.4871832782145980
359,2022-12-01,0.4871832782145980
