Date,predicted_probability
2006-01-31,0.3868925181387389
2006-02-28,0.5398761736412296
2006-03-31,0.21938830256045846
2006-05-31,0.19287164045279107
2006-06-30,0.22467033842204645
2006-07-31,0.509033371282598
2006-08-31,0.7084754658959431
2006-10-31,0.8519942890332959
2006-11-30,0.9145189887722577
2007-01-31,0.6940191228498197
2007-02-28,0.9070468292290024
2007-04-30,0.7168066327785827
2007-05-31,0.23080776509439804
2007-07-31,0.5621195883985772
2007-08-31,0.17392399871961475
2007-10-31,0.16366914825078327
2007-11-30,0.1595700435979155
2007-12-31,0.18694111091203802
2008-01-31,0.14366553942081892
2008-02-29,0.4117030740818595
2008-03-31,0.15354746090739083
2008-04-30,0.1366021066356305
2008-06-30,0.1408303736636638
2008-07-31,0.13965587287540399
2008-09-30,0.12388020611762522
2008-10-31,0.17789200479209863
2008-12-31,0.13987695377705997
2009-03-31,0.13276182422827196
2009-04-30,0.13766176969526875
2009-06-30,0.12956574627767556
2009-07-31,0.12680859067766131
2009-08-31,0.13156493279561887
2009-09-30,0.13356760710633003
2009-11-30,0.13502654694167443
2009-12-31,0.12502955745527472
2010-03-31,0.1258177082321395
2010-04-30,0.12672593924389544
2010-06-30,0.13608603498761349
2010-08-31,0.1198183747887243
2010-09-30,0.12077745043292978
2010-11-30,0.13791894904987523
2010-12-31,0.13177818216976037
2011-01-31,0.12963496128472382
2011-02-28,0.12987991378941588
2011-03-31,0.12830768960429423
2011-05-31,0.13757568387615013
2011-06-30,0.1362415977351278
2011-08-31,0.11476686791256116
2011-09-30,0.14496232749464028
2011-10-31,0.11120225334962837
2011-11-30,0.11658131850787132
2012-01-31,0.16766968795168943
2012-02-29,0.13452254697034713
2012-04-30,0.13997268361473794
2012-05-31,0.3301002593693659
2012-07-31,0.42344998017724206
2012-08-31,0.35148961195382644
2012-10-31,0.23227357605781326
2012-11-30,0.2977803196699525
2012-12-31,0.19720941111259885
2013-01-31,0.12953630180281145
2013-02-28,0.1493166781257211
2013-04-30,0.23674720368213495
2013-05-31,0.11407097876482315
2013-07-31,0.12368943838847483
2013-09-30,0.12891895730487252
2013-10-31,0.12418660603635741
2013-12-31,0.1368587145374865
2014-01-31,0.1284868200656717
2014-02-28,0.1310113581604078
2014-03-31,0.13366043846088474
2014-04-30,0.12596067177336545
2014-06-30,0.11967791984848114
2014-07-31,0.12686332729187919
2014-09-30,0.1194807434971948
2014-10-31,0.111993467107732
2014-12-31,0.1103334093018425
2015-03-31,0.1378771986986692
2015-04-30,0.12285356635842677
2015-06-30,0.10908474427177507
2015-07-31,0.11282326946135915
2015-08-31,0.11139594308139715
2015-09-30,0.11918882924331975
2015-11-30,0.11613566330207532
2015-12-31,0.11992460821849849
2016-02-29,0.273193581813245
2016-03-31,0.22431346844717318
2016-05-31,0.19593526191005567
2016-06-30,0.5137482800652905
2016-08-31,0.4360265773755842
2016-09-30,0.3929221573815597
2016-10-31,0.20358693238820985
2016-11-30,0.10991601501735034
2017-01-31,0.11977217253979189
2017-02-28,0.11306188461528463
2017-03-31,0.12245246375940222
2017-05-31,0.1758971990729931
2017-06-30,0.1627776017339403
2017-07-31,0.17391251182557277
2017-08-31,0.24809658721191388
2017-10-31,0.1514481932084372
2017-11-30,0.1734911139645142
2018-01-31,0.13199304457371597
2018-02-28,0.1275282981426831
2018-04-30,0.15699231490719687
2018-05-31,0.16900953783178332
2018-07-31,0.1552689798778896
2018-08-31,0.23260621766179798
2018-10-31,0.21690657425377446
2018-11-30,0.25281548964784006
2018-12-31,0.6990128883249035
2019-01-31,0.7267554356219228
2019-02-28,0.6217090739484116
2019-04-30,0.8396305922433369
2019-05-31,0.9607695833792564
2019-07-31,0.9475901782621159
2019-09-30,0.9727694898970977
2019-10-31,0.945443543771926
2019-12-31,0.8188863814894667
2020-01-31,0.9684763134887118
2020-03-31,0.969838108545678
2020-04-30,0.920621817892149
2020-06-30,0.971336878711557
2020-07-31,0.9787561228738827
2020-08-31,0.96451925740121
2020-09-30,0.9721239582307349
2020-11-30,0.9563372158418496
2020-12-31,0.9399770804918387
2021-03-31,0.20356082993516628
2021-04-30,0.26787686897107194
2021-06-30,0.4871832782145984
