date,stock_idx_dv,ebitda_dv,bus_conf,cpi,vix,inv
2021-03-01,-0.01369735823920792,0.4347,0.0022589454533704385,0.006163304921202618,-0.05940027720129349,0.022862406833598442
2021-02-01,-0.014997361759208017,0.4347,0.0027154978674460706,0.0035339582992920944,-0.07646644073964572,0.022862406833598442
2021-01-01,-0.009599339779950613,0.4347,0.0015144671466908277,0.002558812649915503,0.1018028539104412,0.022862406833598442
2020-12-01,-0.17007281516301068,-0.0212,0.0019188693749630165,0.002420094815720987,-0.11716270848993351,-0.006085018854987948
2020-11-01,-0.16332090215244105,-0.0212,0.0014979564792788388,0.0017821076393015358,-0.1777574508866141,-0.006085018854987948
2020-10-01,-0.16149157356126595,-0.0212,0.0028906364344796808,0.0012017108061828144,0.06083900401819023,-0.006085018854987948
2020-09-01,-0.05030751143587184,0.8946999999999999,0.003040843104992288,0.002452440716666129,0.17209782983120916,0.024192861402163757
2020-08-01,-0.04307224853163543,0.8946999999999999,0.005120338397961861,0.0034950348925480578,-0.17260869071845192,0.024192861402163757
2020-07-01,-0.04740085863334166,0.8946999999999999,0.007884326940383646,0.005112063231813904,-0.1594269166285628,0.024192861402163757
2020-06-01,-0.4968674066793167,0.4731,0.009175093269817546,0.005208292845982133,0.007151308005784241,-0.008206023570493215
2020-05-01,-0.47447396862347285,0.4731,0.002573870741295826,-9.767838025802722e-4,-0.3416774937310913,-0.008206023570493215
2020-04-01,-0.46075406967721094,0.4731,-0.004836408776537433,-0.00701427054708956,-0.39279884876820065,-0.008206023570493215
2020-03-01,-0.5459752378778185,-0.6984999999999999,-0.004433341496801015,-0.0032365721019114633,0.6600272064420346,-0.03991687591999307
2020-02-01,-0.5298859061307281,-0.6984999999999999,-0.0012468019061245828,5.293172194232392e-4,0.2897758540337974,-0.03991687591999307
2020-01-01,-0.5116837661691966,-0.6984999999999999,0.0017926382845895126,0.0018709869456139552,0.013219018991665646,-0.03991687591999307
2019-12-01,0.1912304065090819,-0.0016,0.0011329381496246686,8.28805242386799e-4,0.08964138599466918,-5.828476269775803e-4
2019-11-01,0.1917304065090819,-0.0016,2.3411191825019282e-4,0.0023334328207790856,-0.23499993924465484,-5.828476269775803e-4
2019-10-01,0.20133191003260753,-0.0016,-7.163700166549655e-4,0.003321846091683023,-0.005979253928541231,-5.828476269775803e-4
2019-09-01,-0.08779339709271626,0.0885,-0.00224327551002546,0.0016138337517346269,-0.21981431384349323,0.011983024049263524
2019-08-01,-0.08259588467181635,0.0885,-0.002955840452245659,7.535589064414982e-4,0.29891746898500743,0.011983024049263524
2019-07-01,-0.08689588467181636,0.0885,-0.002343573088462208,0.0019615121617661798,-0.19014791787654148,0.011983024049263524
2019-06-01,0.0035657679454032497,0.17329999999999998,-0.00195292967565508,2.0358385893201668e-4,-0.055936990516429794,0.011201886633538265
2019-05-01,0.002721794196593373,0.17329999999999998,-0.0021629755584964437,1.76214213830137e-4,0.2256196378736338,0.011201886633538265
2019-04-01,-0.0010342320545967502,0.17329999999999998,-0.002348898997343075,0.004617626093699827,-0.11863347184937305,0.011201886633538265
2019-03-01,0.03724618084638115,0.0273,-0.0013956615775065767,0.004635112749707836,-0.0514515685314407,0.03262350936967642
2019-02-01,0.03868708685149207,0.0273,-0.001742394582139191,0.0020872122671157004,-0.2850758106822797,0.03262350936967642
2019-01-01,0.030781024430621154,0.0273,-0.0015961572886210292,-2.0598872607853914e-4,-0.2749168307855425,0.03262350936967642
2018-12-01,0.03337781186449827,-0.3344,-0.003313326283702875,-0.0013030064199799905,0.22298220927231074,-0.0187549528924893
2018-11-01,0.031746180846381145,-0.3344,-0.0022454630562444514,-3.045621029815371e-4,0.0019017801559224616,-0.0187549528924893
2018-10-01,0.032715938714558884,-0.3344,-0.0021861247236487817,0.00283116975551508,0.3328642883326042,-0.0187549528924893
2018-09-01,0.2502298131005152,0.1917,-9.20228776361772e-4,0.0017764877093221156,0.02816072599656148,0.031374243733794376
2018-08-01,0.255852035125343,0.1917,0.0010414421118635033,0.0015492482173715008,-0.04787316548353349,0.031374243733794376
2018-07-01,0.2619044430842771,0.1917,6.266991577990432e-4,7.678688655036386e-4,-0.040347700108656355,0.031374243733794376
2018-06-01,0.23318645365126167,0.3323,0.0011654448558230499,0.0014572848314964063,-0.03263979440695775,-0.00678147586329977
2018-05-01,0.2354609122652323,0.3323,4.7185503191940747e-4,0.002037593805076821,-0.29332438388240656,-0.00678147586329977
2018-04-01,0.2425291131522524,0.3323,-0.0013154970890182876,0.003028668464688881,-0.04139513059798776,-0.00678147586329977
2018-03-01,0.19003191003260753,-0.0075,-0.0012486721762108273,8.696802221892077e-4,-0.18087477768262955,0.0457325179473544
2018-02-01,0.18839444444392356,-0.0075,2.5119613689901884e-4,0.002322503008423617,0.5075668577765432,0.0457325179473544
2018-01-01,0.19695365033253337,-0.0075,5.232104429257276e-4,0.00396026069370907,0.07212560802376132,0.0457325179473544
2017-12-01,0.0842240376448016,-0.0435,6.171397249686582e-4,0.0014450867052023288,-0.026886471866743755,-0.019782669267205306
2017-11-01,0.08208985279256628,-0.0435,-3.3934051538332254e-4,0.0029145679890692595,0.039374088752900695,-0.019782669267205306
2017-10-01,0.0872639745607627,-0.0435,-3.382392821043983e-4,4.29746571149503e-4,-0.03086730113126245,-0.019782669267205306
2017-09-01,0.10081517904724914,0.1663,0.0018020184973058472,0.005459316733657439,-0.1473129118521789,0.07377049180327865
2017-08-01,0.0980492162741773,0.1663,0.0027098825783387153,0.0037723537448258043,0.14288592796979382,0.07377049180327865
