year,quarter,con_dis,dv_con_dis,bus_conf,bus_conf_ch,con_cred,con_cred_ch,cpi_ch,con_exp_ch,ppi_ch,vix,vix_ch,inv,inv_ch,ppe,ppe_ch,cad_usd,cad_usd_ch,cny_usd,cny_usd_ch,inr_usd,jpy_usd,usd_aud,usd_euro,usd_euro_ch,usd_gbp,wages,wages_ch,employee,unemploy,unemploy_ch,sp500,sp500_ch,gdp,real_gdp,gdp_p_deflat,gnp,gov_con_exp,gov_tot_exp,sh_gdp_con_exp,sh_gdp_pr_dom_inv,sh_gdp_gov_exp,sh_gdp_export,exp_p_idx,exp_p_idx_ch,imp_p_idx,imp_p_idx_ch,order_cap_good_nondef,order_cap_good_nondef_ch,order_dur,order_dur_ch,order_dur_excl_trans,order_dur_excl_trans_ch,ship_dur,ship_dur_ch,ship_con_dur,ship_con_dur_ch,ship_con_dur_excl_def,ship_con_dur_excl_def_ch,ship_con_dur_excl_trans,ship_con_dur_excl_trans_ch,yr_qtr
2006,1,8.9,0.9183911998457306,100.41283333333334,-0.004348381763951152,2346331.54,0.02019760032150725,0.0053908355799999995,0.021,0.8044364704,12.129516129032258,-0.05370669736453028,74.46,0.03478377652430821,281.04,0.06127241673783101,1.1544666666666668,-0.016457816018940842,8.050533333333334,-0.00403285910664298,-0.02397777188616599,-0.003340132818124037,-0.0054982198386586394,1.2031333333333334,0.011691693910345214,0.0028512773722628396,848,0.02240566037735849,-0.016777063082581225,4.733333333333333,-0.049295774647887335,1283.6570967741936,0.0414353980822466,0.019966064225691214,0.013128228117250871,-0.17857142857142858,0.01999067974547086,0.020012019999232758,0.008709201021859242,-0.004491017964071814,0.005025125628140597,0,-0.03508771929824565,108.63333333333333,0.007057379564283514,113.06666666666666,2.948113207547002e-4,63385.666666666664,0.045625456859332024,218822,0.006600494161159952,151662.66666666666,0.029385390383922152,212676.33333333334,0.013226671514931138,36145.333333333336,0.005579327898484032,203921.33333333334,0.015563191034451288,154385,0.02673834893286265,2006-01-01
2006,2,9.9,0.4179851897209107,100.1996,-0.0021280856743273917,2354262.78,0.0033688847597547113,0.01692359249,0.023,0.8183004404,14.564032258064517,0.1671594848112341,76.81,0.03059497461268075,288.55,0.026026685149887336,1.1226,-0.028386483757942907,8.010533333333333,-0.0049934253233244056,0.023105165956632645,-0.020935575453155643,0.009729102512607637,1.2567,0.04262486406196112,0.04003503521769275,774,-0.09560723514211886,0.02480834861582012,4.633333333333333,-0.021582733812949756,1280.7961904761905,-0.002233693634690963,0.010609095139233207,0.0023315485726216434,0.17647058823529416,0.010160070060355157,0.011565004170985,0.013959266670770047,0.002985074626865714,-0.010152284263959355,0,-0,110.4,0.016002415458937318,116.53333333333333,0.029748283752860427,63672.666666666664,0.004507428619292423,217221.33333333334,-0.007368828107736457,153524.66666666666,0.012128344196589473,213307.33333333334,0.0029581730273377065,36174,7.924660437514303e-4,204316.66666666666,0.00193490496777868,154884.33333333334,0.003223911176727642,2006-04-01
2006,3,8.85,-0.4429999692507308,99.86771666666667,-0.0033232294119738457,2391138.62,0.015421874621388665,0.0056022408999999995,0.025,0.8204208123,13.73047619047619,-0.06070846021833544,80.41,0.04477055092650161,296.65,0.027304904769930784,1.1212333333333333,-0.0012188958587270608,7.9651,-0.005704050587354011,0.02099851538745806,0.01570853794921147,0.013255240443896431,1.2737666666666667,0.013398581634522375,0.025274353912099975,775,0.0012903225806451613,0.007552914053255689,4.633333333333334,1.916931841079407e-16,1288.339365079365,0.0058549593435032864,0.00848482156332916,0.0015439404821808054,-0.21428571428571433,0.007488977217833792,0.007509931005645111,0.0104162147642066,0.004457652303120315,-0.01025641025641022,0,0.01724137931034477,111.8,0.012522361359570586,117.73333333333333,0.010192525481313728,65094,0.021835089767618148,218222.66666666666,0.004588585359296532,152520.66666666666,-0.006582714473666957,211677,-0.00770198620224844,33192.666666666664,-0.08981903633332672,202598.33333333334,-0.008481478129961487,155632.66666666666,0.00480833072748211,2006-07-01
2006,4,12.91,1.9384366040827596,99.39699,-0.004735824159933455,2428993.7733333334,0.015584705794195717,-0.0085203998,0.023,0.8054151036,11.179841269841269,-0.2281458975196287,79.09,-0.016689847009735657,290.35,-0.02169795074909576,1.1392,0.015771301498127357,7.8619666666666665,-0.013118006944827173,-0.031655474999331135,0.012302000133049664,0.018244703847816693,1.2903333333333333,0.012839059674502676,0.02253168518228766,866,0.10508083140877598,4.699668739396934e-4,4.433333333333334,-0.04511278195488726,1388.636984126984,0.0722273856984118,0.012093484554072928,0.008446697817315284,-0.8666666666666666,0.012802169532951895,0.016466930422695033,-0.003993281836209965,-0.004477611940298465,-0.020942408376963276,0.005235602094240912,-0.13725490196078435,111.9,8.936550491511039e-4,114.06666666666666,-0.03214494447691413,66303.66666666667,0.018244340433661358,223668,0.024345607477749803,155179.33333333334,0.017132865630732737,216389,0.02177559857478892,34609.333333333336,0.040933081635011886,206606,0.019397629626761358,156846.66666666666,0.007740043354443831,2006-10-01
2007,1,9.56,-0.8684529298266295,99.44655,4.983581632545282e-4,2446143.1166666667,0.007010768591783172,0.01019170385,0.024,0.819115968,12.631803278688524,0.11494495099499387,80.52,0.017759562841529963,311.48,0.0678374213432644,1.1718333333333333,0.02784810126582275,7.758233333333334,-0.013370741620729706,-0.01927824189342022,0.013847394195277815,0.019416652535187363,1.3106333333333333,0.015488695032935719,0.019283887468030725,892,0.02914798206278027,-0.01927080940392247,4.5,0.014814814814814762,1424.381475409836,0.02509474596513349,0.012058990599264454,0.002349398399104417,0.625,0.012157149091002871,0.01635175901943146,0.0433544385710055,0.0029761904761905185,-0.015957446808510675,0,-0,113.86666666666667,0.017271662763466058,114.56666666666666,0.0043642711667151585,64942,-0.02096742734542625,224485.66666666666,0.003642400331424235,154969.66666666666,-0.0013529529434793868,219082.33333333334,0.012293703889101098,34512.666666666664,-0.002800904015917002,209324.33333333334,0.01298622711486008,158821.66666666666,0.012435331031660248,2007-01-01
2007,2,10.12,0.1901034364669214,99.86800666666666,0.004220136966119384,2464799.04,0.007568942956636879,0.01917329089,0.021,0.8512477572999999,13.783650793650793,0.08356621422046238,80.75,0.0028482972136223404,316.55,0.016016427104722772,1.0984,-0.06685481913085692,7.6784333333333334,-0.010392745047817984,-0.07178792742458595,0.011541023559427791,0.054589178356713425,1.3484,0.028008503905863784,0.015741424447875355,810,-0.10123456790123457,0.0229609772275087,4.5,0,1497.1784126984128,0.048622753755427565,0.012083827949551814,0.0056960926602569305,-0.5384615384615384,0.013555356740920605,0.018466137773551914,0.010375652734581452,-0.001490312965722929,0,0.010362694300518097,-0,115.56666666666666,0.014710124026535812,118.7,0.03482167930356647,65322.333333333336,0.005822408874963679,230374.66666666666,0.025562706547594932,157421.66666666666,0.015576000762283888,225168,0.0270272270778559,35862.333333333336,0.03763465846245378,215314.66666666666,0.027821297202234162,162900.33333333334,0.02503780430160785,2007-04-01
2007,3,9.74,-0.19305998831987742,99.59206333333334,-0.0027707361821567808,2531242.776666667,0.026249452355638907,0.00275928711,0.02,0.8546729734,21.664444444444445,0.36376624708761346,83.69,0.03512964511889112,327.3,0.0328444851817904,1.0449333333333333,-0.05116753859895379,7.5567,-0.01610932461700653,-0.016926945736024514,-0.026054965035994682,0.01883676117818241,1.3754,0.0196306529009742,0.01749410542630551,810,0,0.005834527211528282,4.666666666666667,0.035714285714285775,1489.4634920634921,-0.005179664138147118,0.010501545820114467,0.005403358376198048,-0.23809523809523808,0.014305355602063306,0.013782693670057047,0.009818255455285217,0,-0.016216216216216255,0,-0.040816326530612096,116.36666666666666,0.006874820968203929,121.46666666666667,0.02277716794731064,65520,0.00301689051689048,231802.33333333334,0.006158983156626347,157514.33333333334,5.883062493784866e-4,225489,0.0014235727685164242,35635.666666666664,-0.006360668618519036,215069,-0.0011422690702363287,161722.66666666666,-0.007282013653002792,2007-07-01
2007,4,10.18,0.14402333471058415,99.18656666666666,-0.004088221624097738,2585064.49,0.020820259433192465,0.00711214555,0.023,0.8701679987,22.05203125,0.017576013799434173,80.2,-0.04351620947630916,329.63,0.007068531383672554,0.9815666666666667,-0.06455666111997817,7.430366666666667,-0.017002301366913233,-0.02590545432370219,-0.04067262248517915,0.04674613885140198,1.4491666666666667,0.05090281771132841,0.010797409926440505,901,0.10099889012208657,-0.0010129313540538244,4.8,0.02777777777777768,1495.74703125,0.004200937093792292,0.009978407521138308,0.00604169517675054,-0.3125,0.01296843789552239,0.019493339327775444,0.016673824642172208,0.00297176820208028,-0.027777777777777776,0.01025641025641022,-0.020833333333333447,118.53333333333333,0.018278965129358872,126.13333333333333,0.036997885835095064,66178.66666666667,0.009952854897852352,234049.33333333334,0.009600540057081983,161068.66666666666,0.02206719287426055,225547,2.571526112074202e-4,34668.333333333336,-0.02790250468727451,215019.66666666666,-2.294363771376403e-4,163398.66666666666,0.010257121641139464,2007-10-01
2008,1,9.97,-0.11612799312002278,98.99883666666666,-0.0018962849092065287,2609793.1933333334,0.00947534976966839,0.011367736420000002,0.021,0.8884358179999999,26.3944262295082,0.1645193929108233,82.89,0.03245264808782721,347.29,0.05085087390941295,1.0038,0.02214916650063093,7.159033333333333,-0.03790083391146854,0.008552621082357947,-0.07535923940199794,0.018434705817419194,1.5002333333333333,0.03403914946563863,-0.03281505314758349,912,0.01206140350877193,-0.02383815351458805,5,0.040000000000000036,1350.6616393442623,-0.10741801475621658,-0.0020791699482882774,-0.005780217355417882,-0.06666666666666672,-0.0031451349343764342,0.01525712869548051,0.013673396896915314,0.007374631268436578,-0.02857142857142857,0.020100502512562745,0.07692307692307698,122.1,0.02921102921102918,130.73333333333332,0.035186129525752126,67167.33333333333,0.014719456878839769,236431.33333333334,0.01007480677969925,163184.33333333334,0.012964888377765141,227017.33333333334,0.006476744800690739,33117.333333333336,-0.046833480956598755,215489.66666666666,0.0021810790617956934,165597.66666666666,0.013279172613140685,2008-01-01
2008,2,9.89,-0.07186543841809286,99.15882,0.0016134049732877374,2616240.4433333334,0.0024643186051300408,0.02195344656,0.022000000000000002,0.9295384113999999,20.81640625,-0.26796267869283147,81.49,-0.017180022088599898,353.39,0.01726138260844949,1.0098666666666667,0.006007393715341957,6.957166666666667,-0.029015643341398552,0.045262643106821064,-0.00526162564770969,0.04008900819440514,1.5623333333333334,0.03974823981224667,-0.003940470150515717,827,-0.10278113663845223,0.016638446807286874,5.333333333333333,0.062499999999999944,1371.6275,0.015285389550543236,0.01044009598793323,0.005137342413568925,0.31818181818181823,0.010606541822921747,0.020819421632246416,0.06805565651764667,0.0014727540500737632,-0.01744186046511632,0.009950248756219046,-0.01960784313725501,125.1,0.023980815347721823,141.33333333333334,0.07500000000000015,68523.33333333333,0.01978887970034538,229239.33333333334,-0.0313733245312759,166161.33333333334,0.017916322289180796,226583.33333333334,-0.0019154100772342771,30947,-0.07013065348283633,214325.66666666666,-0.005430987422567215,167385.66666666666,0.010681918204864216,2008-04-01
