date,EPS_10YR,EPS_10YR_pred
2020-03,-0.5459752378778185,-0.5255394661673545
2020-04,-0.4607540696772109,-0.5326318329618963
2020-05,-0.4744739686234729,-0.5388559846287554
2020-06,-0.4968674066793167,-0.5354632869849981
2020-07,-0.04740085863334166,-0.40843859645355973
2020-08,-0.04307224853163543,-0.393831295882889
2020-09,-0.05030751143587184,-0.3941106601141675
2020-10,-0.16149157356126595,-0.39464655474696586
2020-11,-0.16332090215244105,-0.35361670248378496
2020-12,-0.17007281516301068,-0.3254697657722769
2021-01,-0.009599339779950613,-0.36927429209373797
2021-02,-0.014997361759208015,-0.5034002684296573
2021-03,-0.01369735823920792,-0.5303982352939562
