year,quarter,dv,bus_conf,con_cred,cpi,con_exp,ppi,vix,inv,ppe
2001,3,-0.0013,0.006330771440529168,0.015354857650433977,0.00131430717,0.017,0.6943402381,0.05110404688068689,0.0492635855764348,0.009498079277301702
2001,4,-0.0361,-0.001206108776865359,0.03227643347993264,-0.00281267579,0.017,0.6773772631,0.09932375155048952,-0.16417027985810007,-0.10171146870058588
2002,1,-0.2415,0.01609997534496994,0.01060885500307988,0.00357277172,0.015,0.6746044691,-0.31216430263696077,0.06762219772142594,0.12379788101059493
2002,2,0.3111,0.006449598851184687,0.012670435240427443,0.01086752857,0.016,0.6816180069000001,0.005942397959428351,0.02403156384505015,-0.004256015714519529
2002,3,-0.1572,-0.007789807403198828,0.01835559623918836,0.00426320667,0.019,0.6837383787,0.38581209417377094,0.007652607225484957,-0.030576525663194295
2002,4,-0.1091,-0.0013823427258793323,0.017111513776282592,0.00313768918,0.017,0.6876529114000001,-0.13889727336754207,-0.06886056686322993,-0.04920571706712688
2003,1,0.16870000000000002,-0.0030964272696458327,0.00900872163476759,0.01011959522,0.017,0.7049420974999999,-0.023505828935071364,0.038236370289059574,0.05786467669987908
2003,2,0.037200000000000004,-0.0013050829833021502,0.010277020119956948,0.0036429872499999997,0.013999999999999999,0.7054314141,-0.39402093518994125,0.03033528472591806,0.022016553186284524
2003,3,0.1378,0.011802651918322268,0.015172600802503365,0.00490018149,0.013000000000000001,0.7134235850999999,-0.116067907938517,0.03887468030690539,5.70473900818982e-4
2003,4,0.0974,0.013753016307334408,0.017254330135158147,1.8060321000000002e-4,0.013999999999999999,0.7192953841,-0.10568738429924086,0.004075394803871659,0.01330813766484401
2004,1,0.16949999999999998,0.0062565104060537564,0.008586436508753624,0.00902853016,0.017,0.7251671832,-0.05430951589114789,0.03379819524200168,0.022941546197360163
2004,2,0.042800000000000005,-8.046362186143773e-4,0.004139899819962193,0.01431639227,0.02,0.7419670527,-0.027479773268169944,-0.029908752957080148,-0.012609889017065182
2004,3,0.0329,-0.006516476583608579,0.016863811086530973,0.00352858151,0.02,0.7434350023999999,-0.03883883627312359,0.08432616431997518,0.01078188328808094
2004,4,0.2021,-0.005254904291213601,0.024198979433863513,0.0059774964799999995,0.021,0.7582776056,-0.1449913831474908,-0.013009404388714707,-0.012550800860626368
2005,1,-0.1421,-0.0038473890018827584,0.006099304568182775,0.00629150647,0.022000000000000002,0.7634969825,-0.0628975356370116,0.0306897599513825,0.046899327839592886
2005,2,0.1841,-0.004907756347858258,0.005443288899201781,0.01337269885,0.021,0.7760561083,0.04205433441418958,0.01629053953071295,-0.0025508261631004303
2005,3,0.0124,0.005168649889753524,0.017900506861804836,0.01216795201,0.021,0.7935083999,-0.09130914486449469,0.059724564362001124,0.014778694673668408
2005,4,0.0684,0.0023959802795189772,0.015234434392149065,0.00507958009,0.022000000000000002,0.8073723698999999,0.03600444765275717,0.009878948100737552,-0.01053748768099473
2006,1,0.060599999999999994,-0.004348381763951152,0.02019760032150725,0.0053908355799999995,0.021,0.8044364704,-0.05370669736453028,0.03478377652430821,0.06127241673783101
2006,2,0.2926,-0.0021280856743273917,0.0033688847597547113,0.01692359249,0.023,0.8183004404,0.1671594848112341,0.03059497461268075,0.026026685149887336
2006,3,0.04190000000000001,-0.0033232294119738457,0.015421874621388665,0.0056022408999999995,0.025,0.8204208123,-0.06070846021833544,0.04477055092650161,0.027304904769930784
2006,4,-0.0471,-0.004735824159933455,0.015584705794195717,-0.0085203998,0.023,0.8054151036,-0.2281458975196287,-0.016689847009735657,-0.02169795074909576
2007,1,-0.11,4.983581632545282e-4,0.007010768591783172,0.01019170385,0.024,0.819115968,0.11494495099499387,0.017759562841529963,0.0678374213432644
2007,2,0.1636,0.004220136966119384,0.007568942956636879,0.01917329089,0.021,0.8512477572999999,0.08356621422046238,0.0028482972136223404,0.016016427104722772
2007,3,-0.0727,-0.0027707361821567808,0.026249452355638907,0.00275928711,0.02,0.8546729734,0.36376624708761346,0.03512964511889112,0.0328444851817904
2007,4,-0.0129,-0.004088221624097738,0.020820259433192465,0.00711214555,0.023,0.8701679987,0.017576013799434173,-0.04351620947630916,0.007068531383672554
2008,1,-0.0255,-0.0018962849092065287,0.00947534976966839,0.011367736420000002,0.021,0.8884358179999999,0.1645193929108233,0.03245264808782721,0.05085087390941295
2008,2,-0.0034999999999999996,0.0016134049732877374,0.0024643186051300408,0.02195344656,0.022000000000000002,0.9295384113999999,-0.26796267869283147,-0.017180022088599898,0.01726138260844949
2008,3,0.4032,-0.005995769613676237,0.008994232637867368,0.01163055346,0.022000000000000002,0.9515576578,0.1660720098149678,0.03914632708407036,0.005991224122412229
2008,4,-0.7162999999999999,-0.025713647370053765,-2.7923104064546715e-4,-0.02828529429,0.016,0.8765291143,0.5758040832800067,-0.10128554733151535,-0.05283108268182887
2009,1,-0.3899,-0.0023606842187446505,-0.010339311554411928,-0.00497633075,0.011000000000000001,0.8566302398000001,-0.2976107014655061,-0.07857142857142856,0.018771430231882314
2009,2,0.3538,0.017473411867174566,-0.01967402137617834,0.010603023369999999,0.011000000000000001,0.8726145816,-0.3564221439509047,-0.011761371687686165,-0.0037040277656254024
2009,3,0.2523,0.019657654003320146,-0.0017117361102156241,0.00679071982,0.009000000000000001,0.8827271244000001,-0.3058930468984849,0.017678173719376532,5.538389786043192e-4
2009,4,0.228,0.008504984933133,-0.006180623884360601,0.00201188589,0.015,0.8936551949,-0.09993085531306424,-0.025406794176420226,-0.015811915196020297
