DATE,ADXDVS
2017-07-01,215704
2017-08-01,218947
2017-09-01,219810
2017-10-01,221266
2017-11-01,224841
2017-12-01,224133
2018-01-01,225348
2018-02-01,227279
2018-03-01,228999
2018-04-01,228809
2018-05-01,229236
2018-06-01,232446
2018-07-01,230669
2018-08-01,233825
2018-09-01,234343
2018-10-01,235310
2018-11-01,235015
2018-12-01,235143
2019-01-01,232621
2019-02-01,233575
2019-03-01,231943
2019-04-01,227148
2019-05-01,227745
2019-06-01,230113
2019-07-01,226000
2019-08-01,225795
2019-09-01,224613
2019-10-01,223681
2019-11-01,222750
2019-12-01,222577
2020-01-01,219524
2020-02-01,223498
2020-03-01,211161
2020-04-01,167572
2020-05-01,175797
2020-06-01,204970
2020-07-01,220146
2020-08-01,221216
2020-09-01,222598
2020-10-01,225533
2020-11-01,225912
2020-12-01,231373
2021-01-01,234941
2021-02-01,227419
2021-03-01,233808
2021-04-01,234572
