DATE,ADXTVS
2017-07-01,149509
2017-08-01,151732
2017-09-01,153474
2017-10-01,154479
2017-11-01,156107
2017-12-01,157425
2018-01-01,157473
2018-02-01,158677
2018-03-01,158941
2018-04-01,161421
2018-05-01,162229
2018-06-01,163046
2018-07-01,163627
2018-08-01,163094
2018-09-01,162293
2018-10-01,163057
2018-11-01,162408
2018-12-01,162109
2019-01-01,160992
2019-02-01,161682
2019-03-01,161211
2019-04-01,161132
2019-05-01,161858
2019-06-01,161721
2019-07-01,160331
2019-08-01,160383
2019-09-01,160177
2019-10-01,159461
2019-11-01,159136
2019-12-01,158903
2020-01-01,158866
2020-02-01,158711
2020-03-01,156003
2020-04-01,143089
2020-05-01,146646
2020-06-01,154007
2020-07-01,158847
2020-08-01,160588
2020-09-01,161820
2020-10-01,164423
2020-11-01,165522
2020-12-01,167554
2021-01-01,172205
2021-02-01,170001
2021-03-01,173942
2021-04-01,175622
