DATE,ADXTNO
2017-08-01,148674
2017-09-01,150573
2017-10-01,152791
2017-11-01,153425
2017-12-01,154358
2018-01-01,153988
2018-02-01,156117
2018-03-01,156933
2018-04-01,159378
2018-05-01,161173
2018-06-01,161822
2018-07-01,162169
2018-08-01,160301
2018-09-01,159376
2018-10-01,160988
2018-11-01,157324
2018-12-01,158140
2019-01-01,157472
2019-02-01,156980
2019-03-01,156767
2019-04-01,157850
2019-05-01,157491
2019-06-01,158841
2019-07-01,156943
2019-08-01,157074
2019-09-01,156112
2019-10-01,156018
2019-11-01,156261
2019-12-01,154416
2020-01-01,154889
2020-02-01,154006
2020-03-01,150552
2020-04-01,137883
2020-05-01,143011
2020-06-01,150635
2020-07-01,155900
2020-08-01,158055
2020-09-01,160114
2020-10-01,162930
2020-11-01,164240
2020-12-01,167549
2021-01-01,171001
2021-02-01,170078
2021-03-01,175545
2021-04-01,177251
