","3 months
Accounts Receivable, 79.35 , 77.54 , 62.83 , 72.14 , 75.09 , 69.46 , 66.92 , 68.52 , 69.58 , 69.18 , 71.85 , 75.97 , 74.54 , 76.43 , 79.93 , 83.84 , 85.3 , 88.03 , 91.08 , 92.97 , 94.91 , 95.29 , 96.96 , 99.64 , 102.28 , 105.73 , 108.23 , 111.05 , 113.73 , 109.64 , 92.37 , 85.96 , 90.0 , 90.47 , 90.52 , 93.33 , 94.89 , 97.86 , 99.93 , 105.52 , 108.57 , 105.86 , 106.1 , 110.37 , 107.4 , 109.91 , 108.16 , 112.4 , 116.21 , 116.96 , 115.33 , 118.77 , 122.71 , 120.58 , 116.51 , 114.43 , 118.64 , 117.34 , 113.74 , 114.66 , 121.37 , 121.36 , 126.64 , 126.69 , 130.88 , 139.01 , 143.07 , 141.13 , 147.01 , 147.79 , 143.35 , 146.42 , 150.52 , 146.79 , 151.61 , 141.78 , 136.47 , 138.71 , 144.64 , 147.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables, 15.51 , 18.37 , 18.79 , 16.74 , 20.1 , 19.75 , 23.81 , 17.95 , 21.39 , 20.44 , 25.43 , 25.13 , 25.38 , 28.57 , 30.07 , 28.09 , 29.42 , 29.91 , 24.33 , 30.55 , 28.8 , 29.64 , 32.3 , 32.23 , 37.11 , 43.9 , 44.31 , 42.59 , 40.76 , 44.27 , 40.07 , 24.48 , 24.7 , 22.25 , 33.71 , 30.07 , 31.15 , 30.9 , 33.0 , 35.0 , 34.39 , 36.01 , 31.81 , 33.74 , 34.47 , 35.38 , 33.33 , 34.42 , 35.61 , 34.14 , 34.02 , 33.8 , 35.96 , 36.96 , 38.13 , 41.85 , 43.56 , 46.07 , 46.11 , 47.94 , 47.12 , 46.99 , 45.95 , 49.95 , 53.51 , 54.38 , 57.67 , 57.07 , 56.36 , 58.16 , 60.45 , 59.57 , 61.16 , 65.23 , 66.32 , 75.08 , 65.89 , 70.29 , 73.23 , 72.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory, 56.16 , 59.07 , 50.74 , 54.42 , 55.76 , 56.19 , 52.57 , 54.66 , 56.37 , 58.65 , 58.89 , 60.95 , 59.18 , 64.63 , 63.8 , 65.82 , 66.91 , 71.16 , 71.87 , 74.46 , 76.81 , 80.41 , 79.09 , 80.52 , 80.75 , 83.69 , 80.2 , 82.89 , 81.49 , 84.81 , 77.01 , 71.4 , 70.57 , 71.84 , 70.06 , 71.18 , 71.52 , 75.75 , 75.33 , 79.12 , 80.84 , 82.26 , 80.68 , 84.08 , 83.69 , 87.94 , 84.17 , 88.78 , 90.61 , 94.71 , 92.38 , 95.68 , 96.0 , 98.97 , 95.4 , 96.04 , 97.39 , 100.81 , 98.11 , 98.75 , 99.05 , 100.99 , 100.0 , 102.19 , 101.7 , 109.8 , 107.67 , 112.83 , 112.07 , 115.7 , 113.57 , 117.4 , 118.73 , 120.17 , 120.1 , 115.49 , 114.55 , 117.39 , 116.68 , 119.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets, 586.83 , 602.12 , 684.41 , 667.56 , 692.75 , 780.99 , 682.77 , 716.03 , 729.18 , 748.83 , 761.52 , 769.28 , 829.51 , 868.89 , 861.08 , 896.6 , 912.74 , 953.38 , 908.63 ," 1,002.79 "," 1,019.18 "," 1,068.61 "," 1,062.32 "," 1,134.97 "," 1,199.44 "," 1,228.02 "," 1,264.17 "," 1,354.56 "," 1,326.75 "," 1,134.61 "," 1,018.27 ", 929.27 , 912.76 , 898.27 , 913.58 , 927.76 , 931.61 , 973.97 , 973.49 ," 1,004.02 "," 1,012.93 "," 1,025.16 ", 992.68 ," 1,019.57 "," 1,015.23 "," 1,029.54 "," 1,050.74 "," 1,060.65 "," 1,061.16 "," 1,088.01 "," 1,082.89 "," 1,094.83 "," 1,107.21 "," 1,110.87 "," 1,119.99 "," 1,133.13 "," 1,128.94 "," 1,119.63 "," 1,080.01 "," 1,098.12 "," 1,115.63 "," 1,127.99 "," 1,103.84 "," 1,135.84 "," 1,182.23 "," 1,193.74 "," 1,213.43 "," 1,240.02 "," 1,192.31 "," 1,206.79 "," 1,208.83 "," 1,219.94 "," 1,244.91 "," 1,264.83 "," 1,227.65 "," 1,396.71 "," 1,441.88 "," 1,450.96 "," 1,480.46 "," 1,557.98 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment", 234.64 , 236.89 , 215.02 , 245.4 , 244.36 , 237.11 , 225.99 , 239.87 , 245.27 , 245.41 , 248.72 , 254.56 , 251.39 , 254.13 , 250.98 , 263.33 , 262.66 , 266.6 , 263.82 , 281.04 , 288.55 , 296.65 , 290.35 , 311.48 , 316.55 , 327.3 , 329.63 , 347.29 , 353.39 , 355.52 , 337.68 , 344.14 , 342.87 , 343.06 , 337.72 , 346.99 , 347.99 , 355.56 , 356.4 , 369.68 , 382.5 , 388.36 , 396.13 , 404.28 , 408.47 , 419.99 , 421.02 , 428.08 , 437.05 , 447.85 , 456.81 , 460.42 , 468.44 , 471.7 , 476.72 , 477.19 , 479.58 , 481.27 , 479.08 , 493.85 , 500.38 , 503.79 , 504.54 , 507.58 , 508.19 , 520.92 , 529.09 , 536.01 , 540.16 , 547.56 , 561.37 , 620.88 , 634.11 , 646.36 , 661.86 , 653.89 , 655.09 , 656.72 , 658.8 , 648.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets," 1,747.74 "," 1,779.13 "," 1,880.13 "," 1,861.89 "," 1,881.49 "," 2,062.4 "," 1,986.96 "," 2,070.39 "," 2,074.57 "," 2,129.4 "," 2,131.18 "," 2,203.04 "," 2,288.29 "," 2,261.2 "," 2,215.71 "," 2,398.15 "," 2,438.12 "," 2,437.86 "," 2,520.65 "," 2,586.2 "," 2,657.52 "," 2,721.58 "," 2,787.37 "," 2,965.11 "," 3,081.84 "," 3,255.65 "," 3,288.81 "," 3,337.8 "," 3,318.04 "," 3,011.76 "," 2,805.66 "," 2,657.77 "," 2,632.25 "," 2,586.88 "," 2,628.2 "," 2,653.13 "," 2,657.13 "," 2,743.65 "," 2,781.45 "," 2,845.1 "," 2,896.56 "," 2,923.06 "," 2,916.44 "," 2,993.71 "," 3,017.87 "," 3,089.08 "," 3,164.47 "," 3,174.71 "," 3,178.85 "," 3,236.6 "," 3,264.34 "," 3,289.89 "," 3,347.27 "," 3,366.6 "," 3,403.97 "," 3,438.55 "," 3,471.44 "," 3,480.16 "," 3,483.59 "," 3,568.29 "," 3,640.29 "," 3,710.71 "," 3,690.91 "," 3,744.03 "," 3,864.77 "," 3,872.45 "," 3,914.85 "," 3,955.43 "," 3,933.59 "," 3,977.79 "," 4,081.42 "," 4,146.61 "," 4,206.45 "," 4,306.1 "," 4,291.37 "," 4,507.6 "," 4,542.39 "," 4,586.7 "," 4,647.54 "," 4,770.43 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIABILITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
