"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-11",100.2431,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-12",100.1034,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-01",99.83464,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-02",99.29909,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-03",98.60564,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-04",98.03059,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-05",97.88327,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-06",98.04033,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-07",98.16406,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-08",98.13667,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-09",97.88914,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-10",97.33418,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-11",96.73181,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-12",96.13288,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-01",95.81571,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-02",96.03365,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-03",96.52802,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-04",97.20898,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-05",98.2761,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-06",99.37185,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-07",100.2884,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-08",101.007,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-09",101.5623,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-10",101.9385,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-11",102.1051,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-12",102.2324,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-01",102.6194,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-02",103.0462,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-03",103.309,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-04",103.3852,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-05",103.2177,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-06",102.5911,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-07",101.6072,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-08",100.4122,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-09",99.49542,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-10",99.36996,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-11",99.88138,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-12",100.6643,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-01",100.8439,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-02",100.0502,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-03",99.01953,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-04",98.21188,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-05",97.77728,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-06",97.77219,
