,,,,Target Variable,,,,,,,
Date,S&P 500 PE Ratio,S&P 500 Price,Calculated EPS (LTM),EPS (LTM) Growth,Consolidation,Growth,Decline,,,,
1-Sep-69,16.05,94.51,5.88847352,0.29%,x,,,,,,
1-Aug-69,16.04,94.18,5.871571072,0.25%,x,,,,,,
1-Jul-69,16.17,94.71,5.857142857,0.32%,x,,,,,,
1-Jun-69,16.98,99.14,5.838633687,0.08%,x,,,,,,
1-May-69,17.93,104.6,5.833798104,0.15%,x,,,,,,
1-Apr-69,17.39,101.3,5.825186889,0.08%,x,,,,,,
1-Mar-69,17.06,99.3,5.82063306,0.36%,x,,,,,,
1-Feb-69,17.5,101.5,5.8,0.36%,x,,,,,,
1-Jan-69,17.65,102,5.779036827,0.33%,x,,,,,,
1-Dec-68,18.49,106.5,5.7598702,0.61%,x,,,,,,
1-Nov-68,18.41,105.4,5.725149375,0.55%,x,,,,,,
1-Oct-68,18.23,103.8,5.693911135,0.61%,x,,,,,,
1-Sep-68,17.9,101.3,5.659217877,0.54%,x,,,,,,
1-Aug-68,17.43,98.11,5.628800918,0.51%,x,,,,,,
1-Jul-68,17.91,100.3,5.600223339,0.53%,x,,,,,,
1-Jun-68,18.04,100.5,5.570953437,0.81%,x,,,,,,
1-May-68,17.71,97.87,5.526256352,0.80%,x,,,,,,
1-Apr-68,17.45,95.67,5.48252149,0.80%,x,,,,,,
1-Mar-68,16.38,89.09,5.438949939,0.69%,x,,,,,,
1-Feb-68,16.8,90.75,5.401785714,0.66%,x,,,,,,
1-Jan-68,17.71,95.04,5.366459627,0.68%,x,,,,,,
1-Dec-67,17.88,95.3,5.329977629,0.20%,x,,,,,,
1-Nov-67,17.42,92.66,5.319173364,0.20%,x,,,,,,
1-Oct-67,18.02,95.66,5.30854606,0.18%,x,,,,,,
1-Sep-67,18.08,95.81,5.299225664,-0.23%,x,,,,,,
1-Aug-67,17.79,94.49,5.311410905,-0.18%,x,,,,,,
1-Jul-67,17.48,93.01,5.320938215,-0.19%,x,,,,,,
1-Jun-67,17.15,91.43,5.331195335,-0.73%,x,,,,,,
1-May-67,17.24,92.59,5.370649652,-0.75%,x,,,,,,
1-Apr-67,16.81,90.96,5.411064842,-0.70%,x,,,,,,
1-Mar-67,16.41,89.42,5.449116392,-0.64%,x,,,,,,
1-Feb-67,15.93,87.36,5.483992467,-0.58%,x,,,,,,
1-Jan-67,15.31,84.45,5.516002613,-0.64%,x,,,,,,
1-Dec-66,14.65,81.33,5.551535836,0.28%,x,,,,,,
1-Nov-66,14.63,80.99,5.535885167,0.20%,x,,,,,,
1-Oct-66,13.96,77.13,5.525071633,0.26%,x,,,,,,
1-Sep-66,14.12,77.81,5.510623229,0.30%,x,,,,,,
1-Aug-66,14.68,80.65,5.49386921,0.29%,x,,,,,,
1-Jul-66,15.67,85.84,5.477983408,0.32%,x,,,,,,
1-Jun-66,15.76,86.06,5.460659898,0.74%,x,,,,,,
1-May-66,16.01,86.78,5.420362274,0.77%,x,,,,,,
1-Apr-66,17.03,91.6,5.378743394,0.70%,x,,,,,,
1-Mar-66,16.64,88.88,5.341346154,0.96%,x,,,,,,
1-Feb-66,17.52,92.69,5.290525114,0.97%,x,,,,,,
1-Jan-66,17.81,93.32,5.239752948,0.93%,x,,,,,,
1-Dec-65,17.67,91.73,5.191284663,1.40%,,x,,,,,
1-Nov-65,18,92.15,5.119444444,1.39%,,x,,,,,
1-Oct-65,18.1,91.39,5.049171271,1.40%,,x,,,,,
1-Sep-65,17.95,89.38,4.979387187,0.92%,x,,,,,,
1-Aug-65,17.53,86.49,4.933827724,0.99%,x,,,,,,
1-Jul-65,17.38,84.91,4.885500575,0.94%,x,,,,,,
1-Jun-65,17.57,85.04,4.840068298,1.11%,,x,,,,,
1-May-65,18.65,89.28,4.787131367,1.16%,,x,,,,,
1-Apr-65,18.59,87.97,4.73211404,1.09%,,x,,,,,
1-Mar-65,18.55,86.83,4.680862534,0.96%,x,,,,,,
1-Feb-65,18.71,86.75,4.63655799,0.95%,x,,,,,,
1-Jan-65,18.75,86.12,4.593066667,0.93%,x,,,,,,
1-Dec-64,18.45,83.96,4.550677507,0.61%,x,,,,,,
1-Nov-64,18.89,85.44,4.523028057,0.59%,x,,,,,,
1-Oct-64,18.87,84.85,4.496555379,0.59%,x,,,,,,
1-Sep-64,18.66,83.41,4.469989282,1.07%,,x,,,,,
1-Aug-64,18.54,82,4.422869471,1.03%,,x,,,,,
1-Jul-64,19.01,83.22,4.37769595,1.10%,,x,,,,,
1-Jun-64,18.53,80.24,4.330275229,1.18%,,x,,,,,
1-May-64,18.86,80.72,4.279957582,1.19%,,x,,,,,
1-Apr-64,18.9,79.94,4.22962963,1.18%,,x,,,,,
1-Mar-64,18.85,78.8,4.180371353,1.28%,,x,,,,,
1-Feb-64,18.75,77.39,4.127466667,1.34%,,x,,,,,
1-Jan-64,18.77,76.45,4.072988812,1.32%,,x,,,,,
1-Dec-63,18.45,74.17,4.020054201,0.53%,x,,,,,,
1-Nov-63,18.16,72.62,3.998898678,0.48%,x,,,,,,
1-Oct-63,18.35,73.03,3.979836512,0.52%,x,,,,,,
1-Sep-63,18.4,72.85,3.95923913,1.02%,,x,,,,,
1-Aug-63,18.11,70.98,3.919381557,1.01%,,x,,,,,
1-Jul-63,17.8,69.07,3.880337079,1.06%,,x,,,,,
1-Jun-63,18.26,70.11,3.839539978,1.11%,,x,,,,,
1-May-63,18.47,70.14,3.797509475,1.18%,,x,,,,,
1-Apr-63,18.32,68.76,3.753275109,1.16%,,x,,,,,
1-Mar-63,17.7,65.67,3.710169492,0.35%,x,,,,,,
1-Feb-63,17.83,65.92,3.697139652,0.36%,x,,,,,,
1-Jan-63,17.66,65.06,3.68403171,0.39%,x,,,,,,
1-Dec-62,17.07,62.64,3.669595782,1.27%,,x,,,,,
1-Nov-62,16.57,60.04,3.623415812,1.28%,,x,,,,,
1-Oct-62,15.7,56.17,3.577707006,1.35%,,x,,,,,
1-Sep-62,16.43,58,3.530127815,0.56%,x,,,,,,
1-Aug-62,16.67,58.52,3.5104979,0.56%,x,,,,,,
1-Jul-62,16.32,56.97,3.490808824,0.59%,x,,,,,,
1-Jun-62,16.03,55.63,3.47036806,0.99%,x,,,,,,
1-May-62,18.33,62.99,3.43644299,1.00%,x,,,,,,
1-Apr-62,20,68.05,3.4025,0.98%,x,,,,,,
1-Mar-62,20.86,70.29,3.369606903,1.78%,,x,,,,,
1-Feb-62,21.21,70.22,3.310702499,1.86%,,x,,,,,
1-Jan-62,21.25,69.07,3.250352941,1.90%,,x,,,,,
1-Dec-61,22.49,71.74,3.189862161,1.47%,,x,,,,,
1-Nov-61,22.61,71.08,3.143741707,1.52%,,x,,,,,
1-Oct-61,21.96,68,3.096539162,1.51%,,x,,,,,
1-Sep-61,22.05,67.26,3.050340136,0.21%,x,,,,,,
1-Aug-61,22.27,67.79,3.044005388,0.24%,x,,,,,,
1-Jul-61,21.55,65.44,3.036658933,0.23%,x,,,,,,
1-Jun-61,21.66,65.62,3.029547553,-0.69%,x,,,,,,
1-May-61,21.8,66.5,3.050458716,-0.65%,x,,,,,,
1-Apr-61,21.44,65.83,3.070429104,-0.64%,x,,,,,,
1-Mar-61,20.75,64.12,3.090120482,-1.88%,,,x,,,,
1-Feb-61,19.74,62.17,3.149442756,-1.91%,,,x,,,,
1-Jan-61,18.6,59.72,3.210752688,-1.81%,,,x,,,,
1-Dec-60,17.37,56.8,3.270005757,-0.02%,x,,,,,,
1-Nov-60,16.96,55.47,3.270636792,0.01%,x,,,,,,
1-Oct-60,16.43,53.73,3.270237371,0.00%,x,,,,,,
1-Sep-60,16.76,54.81,3.270286396,0.12%,x,,,,,,
1-Aug-60,17.3,56.51,3.266473988,0.09%,x,,,,,,
1-Jul-60,17.11,55.84,3.263588545,0.08%,x,,,,,,
1-Jun-60,17.56,57.26,3.260820046,-1.27%,,,x,,,,
1-May-60,16.72,55.22,3.302631579,-1.33%,,,x,,,,
1-Apr-60,16.65,55.73,3.347147147,-1.26%,,,x,,,,
1-Mar-60,16.23,55.02,3.390018484,-0.03%,x,,,,,,
1-Feb-60,16.45,55.78,3.390881459,0.04%,x,,,,,,
1-Jan-60,17.12,58.03,3.389602804,,x,,,,,,
