DATE,IQ
2004-12-01,104.8
2005-01-01,105.6
2005-02-01,105.7
2005-03-01,106.4
2005-04-01,106.9
2005-05-01,106.7
2005-06-01,106.7
2005-07-01,106.8
2005-08-01,106.6
2005-09-01,107.5
2005-10-01,108.3
2005-11-01,107.6
2005-12-01,107.7
2006-01-01,108.5
2006-02-01,108.6
2006-03-01,108.8
2006-04-01,109.6
2006-05-01,110.4
2006-06-01,111.2
2006-07-01,111.6
2006-08-01,112.1
2006-09-01,111.7
2006-10-01,111.4
2006-11-01,111.8
2006-12-01,112.5
2007-01-01,113.0
2007-02-01,113.9
2007-03-01,114.7
2007-04-01,115.2
2007-05-01,115.5
2007-06-01,116.0
2007-07-01,116.1
2007-08-01,116.3
2007-09-01,116.7
2007-10-01,117.6
2007-11-01,118.7
2007-12-01,119.3
2008-01-01,120.7
2008-02-01,121.8
2008-03-01,123.8
2008-04-01,124.4
2008-05-01,124.8
2008-06-01,126.1
2008-07-01,128.0
2008-08-01,125.9
2008-09-01,124.9
2008-10-01,122.3
2008-11-01,118.4
2008-12-01,115.8
2009-01-01,116.6
2009-02-01,116.3
2009-03-01,115.5
2009-04-01,116.1
2009-05-01,116.6
2009-06-01,117.8
2009-07-01,117.4
2009-08-01,118.1
2009-09-01,117.9
2009-10-01,117.9
2009-11-01,118.9
2009-12-01,119.7
2010-01-01,120.7
2010-02-01,120.3
2010-03-01,121.2
2010-04-01,122.5
2010-05-01,123.1
2010-06-01,122.2
2010-07-01,122.0
2010-08-01,123.0
2010-09-01,123.7
2010-10-01,124.7
2010-11-01,126.6
2010-12-01,127.5
2011-01-01,129.1
2011-02-01,130.8
2011-03-01,132.7
2011-04-01,133.8
2011-05-01,134.3
2011-06-01,134.5
2011-07-01,134.0
2011-08-01,134.6
2011-09-01,135.3
2011-10-01,132.6
2011-11-01,132.7
2011-12-01,132.1
2012-01-01,132.5
2012-02-01,133.1
2012-03-01,134.1
2012-04-01,134.7
2012-05-01,134.0
2012-06-01,131.7
2012-07-01,132.2
2012-08-01,133.4
2012-09-01,134.5
2012-10-01,134.6
2012-11-01,133.8
2012-12-01,133.6
2013-01-01,134.1
2013-02-01,135.1
2013-03-01,134.4
2013-04-01,133.6
2013-05-01,132.9
2013-06-01,132.8
2013-07-01,132.6
2013-08-01,131.9
2013-09-01,132.4
2013-10-01,131.6
2013-11-01,131.8
2013-12-01,132.3
2014-01-01,132.7
2014-02-01,133.7
2014-03-01,134.9
2014-04-01,133.5
2014-05-01,133.7
2014-06-01,133.0
2014-07-01,133.1
2014-08-01,132.4
2014-09-01,131.9
2014-10-01,130.7
2014-11-01,129.5
2014-12-01,128.3
2015-01-01,126.1
2015-02-01,125.9
2015-03-01,125.9
2015-04-01,125.1
2015-05-01,125.7
2015-06-01,125.3
2015-07-01,124.8
2015-08-01,123.0
2015-09-01,122.3
2015-10-01,122.0
2015-11-01,121.1
2015-12-01,119.8
2016-01-01,118.7
2016-02-01,118.2
2016-03-01,118.1
2016-04-01,118.7
2016-05-01,120.0
2016-06-01,120.9
2016-07-01,121.1
2016-08-01,120.1
2016-09-01,120.5
2016-10-01,120.7
2016-11-01,120.8
2016-12-01,121.3
2017-01-01,121.6
2017-02-01,122.0
2017-03-01,122.1
2017-04-01,122.4
2017-05-01,121.7
2017-06-01,121.6
2017-07-01,122.2
2017-08-01,122.9
2017-09-01,123.9
2017-10-01,124.0
2017-11-01,124.6
2017-12-01,124.7
2018-01-01,125.6
2018-02-01,125.8
2018-03-01,126.3
2018-04-01,126.9
2018-05-01,127.8
2018-06-01,128.0
2018-07-01,127.4
2018-08-01,127.3
2018-09-01,127.3
2018-10-01,127.9
2018-11-01,126.9
2018-12-01,126.1
2019-01-01,125.3
2019-02-01,126.1
2019-03-01,127.0
2019-04-01,127.1
2019-05-01,126.7
2019-06-01,126.0
2019-07-01,126.2
2019-08-01,125.5
2019-09-01,125.1
2019-10-01,125.1
2019-11-01,125.2
2019-12-01,125.0
2020-01-01,125.8
2020-02-01,124.3
2020-03-01,122.5
2020-04-01,118.2
2020-05-01,118.2
2020-06-01,120.3
2020-07-01,121.5
2020-08-01,122.1
2020-09-01,122.8
2020-10-01,123.0
2020-11-01,124.0
2020-12-01,125.5
2021-01-01,128.9
2021-02-01,131.0
2021-03-01,134.1
2021-04-01,135.2
