DATE,IR
1982-09-01,80.0
1982-10-01,.
1982-11-01,.
1982-12-01,79.9
1983-01-01,.
1983-02-01,.
1983-03-01,77.7
1983-04-01,.
1983-05-01,.
1983-06-01,77.8
1983-07-01,.
1983-08-01,.
1983-09-01,77.6
1983-10-01,.
1983-11-01,.
1983-12-01,78.0
1984-01-01,.
1984-02-01,.
1984-03-01,78.7
1984-04-01,.
1984-05-01,.
1984-06-01,78.9
1984-07-01,.
1984-08-01,.
1984-09-01,77.7
1984-10-01,.
1984-11-01,.
1984-12-01,77.0
1985-01-01,.
1985-02-01,.
1985-03-01,75.5
1985-04-01,.
1985-05-01,.
1985-06-01,75.8
1985-07-01,.
1985-08-01,.
1985-09-01,76.0
1985-10-01,.
1985-11-01,.
1985-12-01,77.8
1986-01-01,.
1986-02-01,.
1986-03-01,75.0
1986-04-01,.
1986-05-01,.
1986-06-01,75.1
1986-07-01,.
1986-08-01,.
1986-09-01,76.9
1986-10-01,.
1986-11-01,.
1986-12-01,77.7
1987-01-01,.
1987-02-01,.
1987-03-01,80.8
1987-04-01,.
1987-05-01,.
1987-06-01,83.6
1987-07-01,.
1987-08-01,.
1987-09-01,84.3
1987-10-01,.
1987-11-01,.
1987-12-01,85.5
1988-01-01,.
1988-02-01,.
1988-03-01,86.5
1988-04-01,.
1988-05-01,.
1988-06-01,88.8
1988-07-01,.
1988-08-01,.
1988-09-01,87.6
1988-10-01,.
1988-11-01,.
1988-12-01,89.3
1989-01-01,91.1
1989-02-01,90.6
1989-03-01,91.3
1989-04-01,92.0
1989-05-01,92.6
1989-06-01,91.5
1989-07-01,90.5
1989-08-01,90.0
1989-09-01,90.4
1989-10-01,90.9
1989-11-01,91.1
1989-12-01,91.6
1990-01-01,92.5
1990-02-01,92.7
1990-03-01,92.4
1990-04-01,91.6
1990-05-01,91.2
1990-06-01,90.8
1990-07-01,90.5
1990-08-01,93.3
1990-09-01,96.5
1990-10-01,99.3
1990-11-01,98.7
1990-12-01,98.4
1991-01-01,97.0
1991-02-01,95.0
1991-03-01,95.0
1991-04-01,94.2
1991-05-01,94.0
1991-06-01,93.4
1991-07-01,92.8
1991-08-01,93.1
1991-09-01,93.3
1991-10-01,94.1
1991-11-01,94.5
1991-12-01,94.3
1992-01-01,94.0
1992-02-01,94.0
1992-03-01,93.9
1992-04-01,93.6
1992-05-01,94.0
1992-06-01,94.8
1992-07-01,95.3
1992-08-01,95.7
1992-09-01,95.9
1992-10-01,96.6
1992-11-01,96.0
1992-12-01,94.4
1993-01-01,94.3
1993-02-01,94.2
1993-03-01,94.7
1993-04-01,95.2
1993-05-01,95.5
1993-06-01,95.0
1993-07-01,94.5
1993-08-01,94.4
1993-09-01,94.5
1993-10-01,94.9
1993-11-01,94.4
1993-12-01,93.5
1994-01-01,93.5
1994-02-01,93.9
1994-03-01,94.0
1994-04-01,94.7
1994-05-01,95.5
1994-06-01,96.3
1994-07-01,97.2
1994-08-01,97.6
1994-09-01,97.2
1994-10-01,97.9
1994-11-01,98.5
1994-12-01,98.4
1995-01-01,98.7
1995-02-01,99.4
1995-03-01,99.9
1995-04-01,100.9
1995-05-01,101.8
1995-06-01,101.4
1995-07-01,101.1
1995-08-01,100.8
1995-09-01,100.8
1995-10-01,100.4
1995-11-01,100.6
1995-12-01,101.0
1996-01-01,101.2
1996-02-01,101.0
1996-03-01,101.6
1996-04-01,102.5
1996-05-01,101.8
1996-06-01,100.7
1996-07-01,100.6
1996-08-01,100.7
1996-09-01,101.8
1996-10-01,102.4
1996-11-01,102.2
1996-12-01,102.5
1997-01-01,102.2
1997-02-01,101.2
1997-03-01,100.0
1997-04-01,98.8
1997-05-01,98.8
1997-06-01,98.8
1997-07-01,98.5
1997-08-01,98.4
1997-09-01,98.4
1997-10-01,98.6
1997-11-01,98.1
1997-12-01,97.2
1998-01-01,95.9
1998-02-01,95.0
1998-03-01,94.1
1998-04-01,93.9
1998-05-01,93.7
1998-06-01,93.1
1998-07-01,92.3
1998-08-01,92.0
1998-09-01,92.2
1998-10-01,92.3
1998-11-01,91.8
1998-12-01,91.0
1999-01-01,91.3
1999-02-01,91.2
1999-03-01,91.5
1999-04-01,92.4
1999-05-01,93.1
1999-06-01,92.9
1999-07-01,93.8
1999-08-01,94.8
1999-09-01,95.8
1999-10-01,96.0
1999-11-01,96.7
1999-12-01,97.4
2000-01-01,97.8
2000-02-01,99.7
2000-03-01,99.9
2000-04-01,98.5
2000-05-01,98.8
2000-06-01,100.2
2000-07-01,100.2
2000-08-01,100.4
2000-09-01,101.6
2000-10-01,101.2
2000-11-01,101.2
2000-12-01,100.5
2001-01-01,100.5
2001-02-01,99.9
2001-03-01,98.3
2001-04-01,97.8
2001-05-01,98.0
2001-06-01,97.6
2001-07-01,96.1
2001-08-01,96.0
2001-09-01,95.9
2001-10-01,93.7
2001-11-01,92.3
2001-12-01,91.4
2002-01-01,91.6
2002-02-01,91.6
2002-03-01,92.8
2002-04-01,94.3
2002-05-01,94.4
2002-06-01,94.1
2002-07-01,94.5
2002-08-01,94.8
2002-09-01,95.5
2002-10-01,95.5
2002-11-01,94.6
2002-12-01,95.2
2003-01-01,96.9
2003-02-01,98.5
2003-03-01,99.1
2003-04-01,96.0
2003-05-01,95.3
2003-06-01,96.2
2003-07-01,96.7
2003-08-01,96.7
2003-09-01,96.2
2003-10-01,96.3
2003-11-01,96.8
2003-12-01,97.5
2004-01-01,99.0
2004-02-01,99.4
2004-03-01,100.2
2004-04-01,100.4
2004-05-01,101.9
2004-06-01,101.7
2004-07-01,102.1
2004-08-01,103.6
2004-09-01,104.1
2004-10-01,105.8
2004-11-01,105.5
2004-12-01,104.0
2005-01-01,104.6
2005-02-01,105.5
2005-03-01,107.8
2005-04-01,108.8
2005-05-01,107.9
2005-06-01,109.2
2005-07-01,110.5
2005-08-01,112.1
2005-09-01,114.4
2005-10-01,114.5
2005-11-01,112.3
2005-12-01,112.3
2006-01-01,113.7
2006-02-01,112.8
2006-03-01,112.7
2006-04-01,115.1
2006-05-01,117.2
2006-06-01,117.3
2006-07-01,118.2
2006-08-01,118.8
2006-09-01,116.2
2006-10-01,113.3
2006-11-01,113.8
2006-12-01,115.1
2007-01-01,113.7
2007-02-01,114.1
2007-03-01,115.9
2007-04-01,117.5
2007-05-01,118.6
2007-06-01,120.0
2007-07-01,121.5
2007-08-01,121.1
2007-09-01,121.8
2007-10-01,123.6
2007-11-01,127.5
2007-12-01,127.3
2008-01-01,129.2
2008-02-01,129.5
2008-03-01,133.5
2008-04-01,137.3
2008-05-01,141.2
2008-06-01,145.5
2008-07-01,147.5
2008-08-01,143.0
2008-09-01,137.8
2008-10-01,129.6
2008-11-01,120.0
2008-12-01,114.5
2009-01-01,113.0
2009-02-01,113.0
2009-03-01,113.6
2009-04-01,114.8
2009-05-01,116.8
2009-06-01,120.0
2009-07-01,119.3
2009-08-01,121.1
2009-09-01,121.3
2009-10-01,122.3
2009-11-01,124.1
2009-12-01,124.4
2010-01-01,125.9
2010-02-01,125.8
2010-03-01,126.3
2010-04-01,127.7
2010-05-01,126.7
2010-06-01,125.2
2010-07-01,125.2
2010-08-01,125.7
2010-09-01,125.7
2010-10-01,127.1
2010-11-01,129.2
2010-12-01,131.0
2011-01-01,133.0
2011-02-01,135.3
2011-03-01,139.3
2011-04-01,142.9
2011-05-01,143.1
2011-06-01,142.2
2011-07-01,142.4
2011-08-01,141.9
2011-09-01,141.7
2011-10-01,141.2
2011-11-01,142.2
2011-12-01,142.2
2012-01-01,142.2
2012-02-01,142.2
2012-03-01,144.2
2012-04-01,144.1
2012-05-01,142.0
2012-06-01,138.7
2012-07-01,137.7
2012-08-01,139.4
2012-09-01,140.8
2012-10-01,141.2
2012-11-01,140.2
2012-12-01,139.4
2013-01-01,140.1
2013-02-01,141.3
2013-03-01,141.2
2013-04-01,140.2
2013-05-01,139.4
2013-06-01,138.8
2013-07-01,138.9
2013-08-01,139.4
2013-09-01,139.8
2013-10-01,138.9
2013-11-01,137.7
2013-12-01,137.8
2014-01-01,138.3
2014-02-01,139.8
2014-03-01,140.5
2014-04-01,139.7
2014-05-01,140.1
2014-06-01,140.5
2014-07-01,140.1
2014-08-01,139.0
2014-09-01,137.9
2014-10-01,136.0
2014-11-01,133.5
2014-12-01,130.1
2015-01-01,126.0
2015-02-01,125.5
2015-03-01,125.3
2015-04-01,125.1
2015-05-01,126.5
2015-06-01,126.6
2015-07-01,125.4
2015-08-01,123.2
2015-09-01,121.9
2015-10-01,121.5
2015-11-01,120.8
2015-12-01,119.3
2016-01-01,117.8
2016-02-01,117.2
2016-03-01,117.7
2016-04-01,118.5
2016-05-01,119.9
2016-06-01,120.7
2016-07-01,120.8
2016-08-01,120.5
2016-09-01,120.6
2016-10-01,121.2
2016-11-01,121.1
2016-12-01,121.6
2017-01-01,122.3
2017-02-01,122.7
2017-03-01,122.5
2017-04-01,122.8
2017-05-01,122.7
2017-06-01,122.4
2017-07-01,122.2
2017-08-01,122.9
2017-09-01,123.9
2017-10-01,124.1
2017-11-01,125.3
2017-12-01,125.5
2018-01-01,126.5
2018-02-01,126.8
2018-03-01,126.5
2018-04-01,127.1
2018-05-01,128.2
2018-06-01,128.2
2018-07-01,128.1
2018-08-01,127.6
2018-09-01,127.7
2018-10-01,128.3
2018-11-01,126.2
2018-12-01,124.4
2019-01-01,124.6
2019-02-01,125.9
2019-03-01,126.6
2019-04-01,126.8
2019-05-01,127.0
2019-06-01,125.6
2019-07-01,125.6
2019-08-01,124.9
2019-09-01,125.0
2019-10-01,124.5
2019-11-01,124.7
2019-12-01,125.0
2020-01-01,125.2
2020-02-01,124.3
2020-03-01,121.3
2020-04-01,118.2
2020-05-01,119.0
2020-06-01,120.6
2020-07-01,122.1
2020-08-01,123.2
2020-09-01,123.4
2020-10-01,123.3
2020-11-01,123.4
2020-12-01,124.6
2021-01-01,126.5
2021-02-01,128.0
2021-03-01,129.8
2021-04-01,130.7
