Date,predicted_probability
1962-01-31,0.121956393728715
1962-02-28,0.13355074157701605
1962-04-30,0.11358888700169896
1962-05-31,0.17857551899356403
1962-07-31,0.11270562239325554
1962-08-31,0.14690717756697888
1962-10-31,0.10798486603061482
1962-11-30,0.12333829584281031
1962-12-31,0.11866179271137872
1963-01-31,0.12789826534978596
1963-02-28,0.12420472485047233
1963-04-30,0.1152448219400336
1963-05-31,0.13041391466527616
1963-07-31,0.15017648359308197
1963-09-30,0.1527763038624551
1963-10-31,0.15340920456371399
1963-12-31,0.16079592891503464
1964-01-31,0.16548753901310326
1964-03-31,0.14022204616827744
1964-04-30,0.13063535795324346
1964-06-30,0.15200242508781744
1964-07-31,0.1345304948557733
1964-08-31,0.14689718807396093
1964-09-30,0.16485889428475448
1964-11-30,0.28428602341384857
1964-12-31,0.3715191597456596
1965-03-31,0.3338773647904451
1965-04-30,0.3347533129395988
1965-06-30,0.25986247662603085
1965-08-31,0.25920764706417954
1965-09-30,0.28817141406867647
1965-11-30,0.244283428898121
1965-12-31,0.41098114833838956
1966-01-31,0.46924095478839245
1966-02-28,0.19952680851425567
1966-03-31,0.3502627835590775
1966-05-31,0.41369566906366795
1966-06-30,0.23972593562250272
1966-08-31,0.24424721592342705
1966-09-30,0.8194055684610648
1966-10-31,0.7639798998224572
1966-11-30,0.5420315319273227
1967-01-31,0.7320409667262829
1967-02-28,0.3424973335340086
1967-03-31,0.3540261470222044
1967-05-31,0.1257125175300963
1967-06-30,0.12598137982505125
1967-07-31,0.121945384164223
1967-08-31,0.11960127238971294
1967-10-31,0.1270546359875636
1967-11-30,0.14358003832964752
1968-01-31,0.11735823497494306
1968-02-29,0.1422704633366924
1968-04-30,0.6854082670973846
1968-05-31,0.3482010391737666
1968-07-31,0.23514578449101145
1968-09-30,0.21988725466897166
1968-10-31,0.28780783834726104
1968-12-31,0.4317459180495025
1969-01-31,0.3924945394145878
1969-02-28,0.34413036012427173
1969-04-30,0.5225828486249625
1969-06-30,0.1610971623778641
1969-07-31,0.7641882542262384
1969-09-30,0.12988487543688138
1969-10-31,0.3101335612646654
1969-12-31,0.283410525713139
1970-03-31,0.6930783555545952
1970-04-30,0.1853853252646299
1970-06-30,0.14891439830476053
1970-07-31,0.16185382000325718
1970-08-31,0.19313958876312526
1970-09-30,0.14180855306134668
1970-11-30,0.18084730883791333
1970-12-31,0.17457435781299793
1971-03-31,0.13700263534352594
1971-04-30,0.14401317617554016
1971-06-30,0.16014390047600532
1971-08-31,0.14835557393125748
1971-09-30,0.13317932377180242
1971-11-30,0.14183068566140863
1971-12-31,0.15198215057710593
1972-01-31,0.14114623936774046
1972-02-29,0.12040659859278517
1972-05-31,0.12937211835088389
1972-06-30,0.13543584968441152
1972-07-31,0.12777019122400524
1972-08-31,0.14511269989695477
1972-10-31,0.1476633871061701
1972-11-30,0.13308742044074454
1973-01-31,0.3476619758610706
1973-02-28,0.40420577468920366
1973-04-30,0.12243689997271702
1973-05-31,0.7354829570720286
1973-07-31,0.9749977896819215
1973-08-31,0.9847203992417649
1973-10-31,0.9438097349343545
1973-11-30,0.8778909716304168
1973-12-31,0.8315032507737404
1974-01-31,0.8066946054993415
1974-02-28,0.881233866867855
1974-04-30,0.978051110036383
1974-05-31,0.9399250242195537
1974-07-31,0.8781327552925466
1974-09-30,0.13996374885068957
1974-10-31,0.8534585945058052
1974-12-31,0.6135308176633256
1975-01-31,0.5132929547443207
1975-02-28,0.1788747274483002
1975-03-31,0.1567658873149223
1975-04-30,0.12823839910211995
1975-06-30,0.1308571294331304
1975-07-31,0.14229259120921922
1975-09-30,0.12901953102538263
1975-10-31,0.12439912153750761
1975-12-31,0.12563556399855239
1976-03-31,0.12767212225800134
1976-04-30,0.12754844261382864
1976-06-30,0.12964543814623702
1976-08-31,0.12577450675846483
1976-09-30,0.12428285927394331
1976-11-30,0.12472894397012353
1976-12-31,0.12030989321579601
1977-01-31,0.12573291540988238
1977-02-28,0.12864113609282674
1977-03-31,0.12770445648969594
1977-05-31,0.13728084783660488
1977-06-30,0.12669735813916
1977-08-31,0.16470748609769778
1977-09-30,0.1501080123892682
1977-10-31,0.16388591909196598
1977-11-30,0.13924636410897026
1978-01-31,0.14356628950870304
1978-02-28,0.13573461753434343
1978-03-31,0.13259592249950272
1978-05-31,0.14684336148864405
1978-06-30,0.14138798374743863
1978-07-31,0.13639601256777328
1978-08-31,0.14672907600852042
1978-10-31,0.3176029010527956
1978-11-30,0.8085211334575365
1979-01-31,0.3614390136228421
1979-02-28,0.29971326551048605
1979-04-30,0.24108942540329445
1979-05-31,0.574749259929934
1979-07-31,0.25634371402169537
1979-08-31,0.7704313825758128
1979-10-31,0.9555643304493965
1979-11-30,0.9612560370599383
1979-12-31,0.9802517684040711
1980-01-31,0.7996135263953659
1980-02-29,0.9512177424589265
1980-03-31,0.9399573677959701
1980-04-30,0.23609872391779085
1980-06-30,0.6960136251776238
1980-07-31,0.1273778777403588
1980-09-30,0.8781692233753792
1980-10-31,0.9794333612060663
1980-12-31,0.9399566303811256
1981-03-31,0.5262604507765642
1981-04-30,0.9501108063614112
1981-06-30,0.5191633460345676
1981-07-31,0.12054480900332222
1981-08-31,0.7407008727868366
1981-09-30,0.9003436354390775
1981-11-30,0.7989650945523296
1981-12-31,0.24297752554689997
1982-03-31,0.13589641290544446
1982-04-30,0.1322044849029516
1982-06-30,0.12035392777987579
1982-08-31,0.18138210950569467
1982-09-30,0.1386667332057716
1982-11-30,0.14673673210226304
1982-12-31,0.12812638973227491
